keyword,definition,merged
VEGETATION COVER,Vegetation Cover is the percent of vegetation in an area.,"Label: VEGETATION COVER
Definition: Vegetation Cover is the percent of vegetation in an area."
RIFFLE,"A shallow stretch of a river or stream, where the current is above the average stream velocity and where the water forms small rippled waves as a result.","Label: RIFFLE
Definition: A shallow stretch of a river or stream, where the current is above the average stream velocity and where the water forms small rippled waves as a result."
AA INDEX,"A daily and half daily index of geomagnetic activity determined from the k indexes scaled at two nearly antipodal stations at invariant magnetic latitude 50 degrees (Hartland, England, and Canberra, Australia). The aa values are in units of 1 nT. The index is available back to 1868, and is provided by the Institut de Physique du Globe de Paris, France.","Label: AA INDEX
Definition: A daily and half daily index of geomagnetic activity determined from the k indexes scaled at two nearly antipodal stations at invariant magnetic latitude 50 degrees (Hartland, England, and Canberra, Australia). The aa values are in units of 1 nT. The index is available back to 1868, and is provided by the Institut de Physique du Globe de Paris, France."
POND,"A body of standing water, either natural or man-made, that is usually smaller than a lake. They may arise naturally in floodplains as part of a river system, or they may be somewhat isolated depressions.","Label: POND
Definition: A body of standing water, either natural or man-made, that is usually smaller than a lake. They may arise naturally in floodplains as part of a river system, or they may be somewhat isolated depressions."
BARRIER REEF,"A long, narrow ridge of coral or rock parallel to and relatively near a coastline, separated from the coastline by a lagoon too deep for coral growth.","Label: BARRIER REEF
Definition: A long, narrow ridge of coral or rock parallel to and relatively near a coastline, separated from the coastline by a lagoon too deep for coral growth."
SEDIMENT TRANSPORT,"The movement of solid particles (sediment), typically due to a combination of the force of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. An understanding of sediment transport is typically used in natural systems, where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles due to the sloping surface on which they are resting.","Label: SEDIMENT TRANSPORT
Definition: The movement of solid particles (sediment), typically due to a combination of the force of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. An understanding of sediment transport is typically used in natural systems, where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles due to the sloping surface on which they are resting."
WAVE ENERGY PRODUCTION/USE,"Refers to the production and use of wave energy for human consumption. Wave energy is the transport of energy by ocean surface waves, and the capture of that energy to do useful work.","Label: WAVE ENERGY PRODUCTION/USE
Definition: Refers to the production and use of wave energy for human consumption. Wave energy is the transport of energy by ocean surface waves, and the capture of that energy to do useful work."
RADAR BACKSCATTER,"The (microwave) signal reflected by elements of  an illuminated scene back
in the direction of the radar. It is so named to make clear the difference
between energy scattered in arbitrary  directions, and that which returns
to the radar and thus may be received  and recorded by the sensor.","Label: RADAR BACKSCATTER
Definition: The (microwave) signal reflected by elements of  an illuminated scene back
in the direction of the radar. It is so named to make clear the difference
between energy scattered in arbitrary  directions, and that which returns
to the radar and thus may be received  and recorded by the sensor."
SEDIMENTARY STRUCTURES,"Sediments arranged in a definite pattern of organizations.Such as cross-bedding produced by migration of water ripples and dunes, graded bedding, a decrease in grain sizes going up in the bed that indicates diminishing force with time, etc.","Label: SEDIMENTARY STRUCTURES
Definition: Sediments arranged in a definite pattern of organizations.Such as cross-bedding produced by migration of water ripples and dunes, graded bedding, a decrease in grain sizes going up in the bed that indicates diminishing force with time, etc."
ANABATIC WINDS,"In mountain meteorology, an upslope wind driven by heating (usually daytime insolation) at the slope surface under fair-weather conditions.","Label: ANABATIC WINDS
Definition: In mountain meteorology, an upslope wind driven by heating (usually daytime insolation) at the slope surface under fair-weather conditions."
TABLE REEF,"An isolated reef, approaching an atoll type, but without a lagoon.","Label: TABLE REEF
Definition: An isolated reef, approaching an atoll type, but without a lagoon."
FRACTION OF ABSORBED PHOTOSYNTHETICALLY ACTIVE RADIATION (FAPAR),"The fraction of the incoming solar radiation in the Photosynthetically Active Radiation spectral region that is absorbed by a photosynthetic organism, typically describing the light absorption across an integrated plant canopy.","Label: FRACTION OF ABSORBED PHOTOSYNTHETICALLY ACTIVE RADIATION (FAPAR)
Definition: The fraction of the incoming solar radiation in the Photosynthetically Active Radiation spectral region that is absorbed by a photosynthetic organism, typically describing the light absorption across an integrated plant canopy."
SPRING,A natural flow of water from the sub-surface to the surface. Usually occurs when the water table intersects the Earth's surface.,"Label: SPRING
Definition: A natural flow of water from the sub-surface to the surface. Usually occurs when the water table intersects the Earth's surface."
SCENARIO PLANNING,"Preparation based on a plausible description of how the future may develop based on a coherent and internally consistent set of assumptions about key driving forces (e.g., rate of technological change, prices) and relationships. Scenarios are neither predictions nor forecasts, but are used to provide a view of the implications of developments and actions. Preparation may differ for each plausible scenario considered.","Label: SCENARIO PLANNING
Definition: Preparation based on a plausible description of how the future may develop based on a coherent and internally consistent set of assumptions about key driving forces (e.g., rate of technological change, prices) and relationships. Scenarios are neither predictions nor forecasts, but are used to provide a view of the implications of developments and actions. Preparation may differ for each plausible scenario considered."
